location,Galapagos Islands,Galapagos Islands,Galapagos Islands
lat,-0.00009,-0.00009,-0.00009
lon,-90.46875,-90.46875,-90.46875
asl,-0.667,-0.667,-0.667
variable,Temperature,Relative Humidity,Precipitation Total
unit,°C,%,mm
level,2 m elevation corrected,2 m,sfc
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Galapagos Islands Temperature [2 m elevation corrected],Galapagos Islands Relative Humidity [2 m],Galapagos Islands Precipitation Total
20200803T0000,20.085663,90.0,0.0
20200803T0100,20.105663,90.0,0.0
20200803T0200,20.155663,90.0,0.0
20200803T0300,20.215662,89.0,0.0
20200803T0400,20.275663,89.0,0.0
20200803T0500,20.305662,90.0,0.0
20200803T0600,20.035664,93.0,0.0
20200803T0700,19.995663,93.0,0.0
20200803T0800,19.975662,93.0,0.0
20200803T0900,19.935663,93.0,0.0
20200803T1000,19.935663,93.0,0.0
20200803T1100,19.895662,93.0,0.0
20200803T1200,19.845663,93.0,0.0
20200803T1300,19.765663,93.0,0.0
20200803T1400,19.655663,93.0,0.0
20200803T1500,19.515663,92.0,0.0
20200803T1600,19.425663,92.0,0.0
20200803T1700,19.375662,92.0,0.0
20200803T1800,19.305662,92.0,0.0
20200803T1900,19.205662,92.0,0.0
20200803T2000,19.135662,92.0,0.0
20200803T2100,19.105663,92.0,0.0
20200803T2200,19.035664,92.0,0.0
20200803T2300,18.905663,93.0,0.0
20200804T0000,18.765663,93.0,0.0
20200804T0100,18.735662,93.0,0.0
20200804T0200,18.795662,92.0,0.0
20200804T0300,18.915663,92.0,0.0
20200804T0400,19.105663,91.0,0.0
20200804T0500,19.195663,91.0,0.0
20200804T0600,19.415663,93.0,0.0
20200804T0700,19.305662,93.0,0.0
20200804T0800,19.245663,93.0,0.0
20200804T0900,19.115664,93.0,0.0
20200804T1000,19.055662,93.0,0.0
20200804T1100,18.915663,93.0,0.0
20200804T1200,18.835663,92.0,0.0
20200804T1300,18.785664,93.0,0.0
20200804T1400,18.725662,92.0,0.0
20200804T1500,18.715662,92.0,0.0
20200804T1600,18.675663,92.0,0.0
20200804T1700,18.715662,92.0,0.0
20200804T1800,18.695663,92.0,0.0
20200804T1900,19.545662,89.0,0.0
20200804T2000,19.625662,89.0,0.0
20200804T2100,19.715662,90.0,0.0
20200804T2200,19.845663,91.0,0.0
20200804T2300,19.735662,91.0,0.0
20200805T0000,19.635662,92.0,0.0
20200805T0100,19.525663,93.0,0.0
20200805T0200,19.465662,93.0,0.0
20200805T0300,19.405663,92.0,0.0
20200805T0400,19.265663,92.0,0.0
20200805T0500,19.105663,93.0,0.0
20200805T0600,18.945663,93.0,0.0
20200805T0700,18.995663,92.0,0.0
20200805T0800,19.135662,92.0,0.0
20200805T0900,19.355663,92.0,0.0
20200805T1000,19.525663,92.0,0.0
20200805T1100,19.535664,92.0,0.0
